question,llama-3_prediction,correct,score
"Question 87.1 (MC-NJ) - Step 3
A 40-year-old woman, gravida 2 para 2, comes to the office because of
bulging veins in her legs that have slowly become more visible since she
first noticed them 2 years ago. She says they seem to worsen when she
stands for long periods of time, but she reports no associated pain. She is
concerned that this problem may be life-threatening. Medical history is
otherwise unremarkable and she takes no medications. Both of her
pregnancies resulted in uncomplicated vaginal deliveries at 40 weeks'
gestation. BMI is 23 kg/m². Vital signs are normal. Physical examination
discloses compressible veins in both lower extremities below the knees
that are worse on the left. The remainder of the examination discloses no
abnormalities. Which of the following is the most appropriate next step?
(A) Compression stockings
(B) Surgical ligation of the largest veins
(C) Venography
(D) Venous duplex ultrasonography
(E) Warfarin therapy",D,A,0
"Question 89.1 (MC-NJ) - Step 3
A 39-year-old woman, gravida 2, para 2, comes to the community-based
health center because of a 6-month history of a copious, foul-smelling
vaginal discharge. She also reports spotting that began 6 months ago and
has progressed to heavy bleeding during the past 3 weeks. Medical history
is significant for an abnormal Pap smear in her 20s; her most recent Pap
smear was done 12 years ago during her second pregnancy, and she recalls
the results as being normal. She takes no medications. The patient was
married for 16 years; her husband died 4 years ago and had undergone
vasectomy after the birth of their last child. The patient has not had any
new sexual partners since her husband's death. BMI is 32 kg/m². Vital signs
are temperature 37.2°C (99.0°F), pulse 90/min, respirations 14/min, and
blood pressure 155/96 mm Hg. Speculum examination discloses normal
vaginal mucosa. The cervix is friable with a 1-cm exophytic mass lateral to
the cervical os at the nine o'clock position. Which of the following is the
most critical factor in formulating a management plan for this patient?
(A) Future fertility plans
(B) Hypertension
(C) Obesity
(D) Patient age
(E) Stage of disease",E,E,1
"Question 90.1 (MC-NJ) - Step 3
A 28-year-old man comes to the office for an annual health maintenance
examination. He says he has been generally healthy. Three months ago he
began walking three times weekly for at least 30 minutes, and he has
eliminated salt from his diet after a blood pressure measurement at a local
pharmacy was 160/96 mm Hg. Medical history is unremarkable and he
takes no medications. Family history is remarkable for hyperlipidemia,
hypertension, type 2 diabetes mellitus, and coronary artery disease. The
patient is 188 cm (6 ft 2 in) tall and weighs 135 kg (298 lb); BMI is 38 kg/m².
Vital signs are temperature 36.8°C (98.2°F), pulse 102/min, respirations 18/
min, and blood pressure 156/98 mm Hg. The abdomen is protuberant with
no masses. The remainder of the physical examination discloses no
abnormalities. Results of fasting laboratory studies are shown:
Serum
Cholesterol
Total - 202 mg/dL
HDL - 33 mg/dL
LDL - 137 mg/dL
Triglycerides - 158 mg/dL
Glucose - 104 mg/dL
Blood
Hematocrit - 46%
Hemoglobin - 15.6 g/dL
WBC - 9800/mm³
Pharmacotherapy should be directed toward which of the following?
(A) Aiding with metabolism of glucose
(B) Decreasing pulse rate
(C) Decreasing serum LDL-cholesterol concentration
(D) Lowering blood pressure
(E) Suppressing appetite",C,D,0
"Question 91.1 (MC-NJ) - Step 3
A 22-year-old man comes to the office for evaluation 3 days after his
girlfriend was diagnosed with trichomoniasis vaginalis. The patient has not
had urethral discharge, dysuria, testicular pain, or genital skin lesions. He
has been monogamous with his girlfriend and has been dating her for the
past 6 months. He previously had one sexual partner at age 20 years. The
patient has not consistently used condoms. He has never had any sexually
transmitted diseases. Medical history is unremarkable and he takes no
medications. Vital signs are normal. Genitourinary examination discloses
no lesions or urethral discharge. Testes are symmetrical without
tenderness or masses. There are shotty inguinal lymph nodes. In addition
to recommending condom use, which of the following is the most
appropriate next step?
(A) Obtain a urethral swab for potassium hydroxide preparation
(B) Order urinalysis and urine culture
(C) Prescribe ceftriaxone and doxycycline therapy
(D) Prescribe metronidazole therapy
(E) Reassure the patient that no treatment is necessary",D,D,1
"Question 92.1 (MC-NJ) - Step 3
A 25-year-old man comes to the office because he has had a ""coating"" on
his tongue during the past 2 weeks and has had an unintentional 4.5-kg (10-
lb) weight loss during the past 6 months. He has not had oral pain or
difficulty swallowing. Medical history is unremarkable and he takes no
medications. He has smoked one pack of cigarettes daily for the past 5
years and he drinks two to three beers weekly. He is sexually active with
two male partners and does not consistently use condoms. BMI is 25kg/m².
Vital signs are temperature 37.1°C (98.8°F), pulse 83/min, respirations 16/
min, and blood pressure 114/74 mm Hg. Oral examination shows a white
plaque on the lateral aspect of the tongue bilaterally; an attempt to scrape
the lesion from the tongue is unsuccessful. Anterior and posterior cervical
lymph nodes are enlarged bilaterally but are mobile and not tender to
palpation. The remainder of the physical examination discloses no
abnormalities. A rapid HIV test is positive. Results of other laboratory
studies are shown:
Blood
CD4+ T-lymphocyte count - 128/mm³
Hematocrit - 36%
Hemoglobin - 12.0 g/dL
WBC - 1400/mm³
Neutrophils, segmented - 79%
Eosinophils - 3%
Lymphocytes - 11%
Monocytes - 7%
Platelet count - 124,000/mm³
Which is of the following is the most appropriate clinical intervention at
this time?
(A) Antiretroviral therapy
(B) Liquid nitrogen therapy applied to the tongue lesions
(C) Micafungin therapy
(D) Surgical excision of the tongue lesions
(E) Systemic chemotherapy with liposomal doxorubicin",A,A,1
"Question 93.1 (MC-NJ) - Step 3
A 24-year-old recent college graduate comes to the office because of a 3-
year history of increased frequency of urination and occasional
incontinence whenever she travels. She says the urinary symptoms
typically begin a few days before she is going to fly and they stop the day
after she arrives at her destination. She says she is anxious about flying.
She reports having had similar but milder symptoms prior to examinations
before graduating. Medical history is otherwise unremarkable. Her only
medication is an oral contraceptive. Vital signs are normal. Physical
examination discloses no abnormalities. Urinalysis and urine culture are
normal. Which of the following is the most appropriate next step?
(A) Recommend behavioral therapy
(B) Recommend psychoanalytic psychotherapy
(C) Recommend that the patient avoid any stressful activities that cause the
problem
(D) Review the patient's sexual history
(E) Reassure the patient that her symptoms will resolve in time",A,A,1
"Question 94.1 (MC-NJ) - Step 3
A 22-year-old woman comes to the emergency department because of a 5-
day history of sore throat and fever. During the past 3 days, she also has
noticed a change in her voice and has had increased pain with swallowing.
She has been taking acetaminophen since her symptoms began. Medical
history is unremarkable and she takes no routine medications. Vital signs
are temperature 40.0°C (104.0°F), pulse 130/min, respirations 18/min, and
blood pressure 102/66 mm Hg. Pulse oximetry on room air shows an
oxygen saturation of 97%. Examination of the oropharynx shows erythema,
edema, and anterior displacement of the right side of the soft palate. The
uvula is deviated to the left. There is a white exudate on the right tonsil.
Trismus is noted. Palpation of the neck discloses enlarged, tender, mobile
anterior cervical lymph nodes. In addition to antibiotic therapy, which of
the following is the most appropriate management?
(A) Incision and drainage
(B) Intravenous methylprednisolone therapy
(C) Oral nystatin therapy
(D) Salt water gargle
(E) Tonsillectomy",B,A,0
"Question 95.1 (MC-NJ) - Step 3
A 26-year-old man, who is admitted to the hospital to undergo
cholecystectomy, bleeds excessively during the procedure and then
develops a large wound hematoma. Medical history discloses that he has
always tended to bruise excessively with trauma. His wounds oozed blood
for 3 days following a dental extraction, which was his only previous
surgical procedure. He says that his maternal grandfather and uncle were
""bleeders."" Initial coagulation studies show a normal platelet count,
bleeding time, and prothrombin time. The partial thromboplastin time is
moderately prolonged. Which of the following is the most appropriate
statement to this patient and his wife regarding their children?
(A) There is no evidence of a familial coagulation defect
(B) Half of their daughters will have a clinically evident coagulation disorder
(C) The sons of their daughters will be at risk for a clinically evident
coagulation disorder
(D) Their sons will be at risk for a clinically evident coagulation disorder
(E) Their sons and daughters will be at risk for a significant coagulation
disorder",D,C,0
"Question 97.1 (MC-NJ) - Step 3
A 29-year-old woman, gravida 3, para 3, comes to the office because of a 1-
year history of recurrent low back pain. Rest and analgesics typically
resolve the pain within 2 weeks. However, the pain recurs every 2 to 3
months. Medical history is remarkable for gestational diabetes during her
pregnancies. She takes no medications except for an oral contraceptive.
She walks 3 miles daily for exercise and works as a sales representative for
a computer software company. She is 165 cm (5 ft 5 in) tall and weighs 100
kg (220 lb); BMI is 37 kg/m². Vital signs are normal, and physical
examination discloses no abnormalities. Which of the following is the most
appropriate next step?
(A) Administer an epidural injection of methylprednisolone
(B) Order MRI of the lumbosacral spine
(C) Order x-rays of the lumbosacral spine
(D) Recommend beginning a weight loss program
(E) Recommend decreasing physical activity",D,D,1
"Question 98.1 (MC-NJ) - Step 3
A 46-year-old woman comes to the office because of a 4-month history of
irregular vaginal bleeding that occurs every 2 weeks and lasts 3 to 5 days.
Until 5 months ago when she missed a period, her periods had occurred at
regular 30-day intervals and lasted for 5 days. She has not had vaginal pain
or discharge, headache, dizziness, chest pain, or shortness of breath.
Medical history is unremarkable. She takes no medications. Vital signs are
temperature 37.0°C (98.6°F), pulse 80/min, respirations 16/min, and blood
pressure 120/60 mm Hg. Pelvic examination discloses normal external
female genitalia. There is a small amount of blood in the cervical os. Uterus
is 10 cm, mobile, anteverted, nontender, and irregular in shape. Adnexa are
without masses or tenderness. Hemoglobin concentration is 10.2 g/dL.
Which of the following is the most appropriate next step in evaluation?
(A) Determination of serum thyroid-stimulating hormone and prolactin
concentrations
(B) CT scan of the pelvis
(C) Endometrial biopsy
(D) Hysteroscopy with dilatation and curettage
(E) Trial of hormone replacement therapy",C,C,1
"Question 99.1 (MC-NJ) - Step 3
A 36-year-old woman is referred to the office for evaluation of a fasting
serum total cholesterol concentration of 249 mg/dL. She has a family
history of early coronary artery disease (CAD) and her father died suddenly
at age 46 years of myocardial infarction. She tells you that she has never
had chest pain. She is not currently sexually active and has no children. The
patient works as an advertising executive. She claims that her high-stress
lifestyle makes it impossible for her to eat regular meals or to follow a
special diet, and she usually eats fast food. She exercises two or three times
a week for about 20 minutes on a treadmill. She has smoked one pack of
cigarettes daily for the past 20 years. Her only medication is
acetaminophen for tension headaches. She is 165 cm (5 ft 5 in) tall and
weighs 76 kg (167 lb); BMI is 28 kg/m². Vital signs today are normal. Physical
examination discloses no abnormalities except for mild obesity. Institution
of which of the following is the most essential step in the prevention of
CAD in this patient?
(A) Biofeedback-based stress reduction program
(B) More rigorous and consistent exercise program
(C) Smoking cessation program
(D) Strict low-calorie diet
(E) Strict low-fat diet",C,C,1
"Question 100.1 (MC-NJ) - Step 3
A 57-year-old man was admitted to the intensive care unit from the
emergency department 3 hours ago for treatment of an acute exacerbation
of chronic obstructive pulmonary disease. He was brought to the
emergency department by ambulance following a 2-hour history of severe
shortness of breath and non-productive cough. Chest x-ray obtained on
arrival showed significant air-trapping but no infiltrate. The patient was
intubated in the emergency department, but now his ventilator pressure
alarm is sounding and his blood pressure is dropping. Medical history is
otherwise unremarkable. Medications include ipratropium and prednisone.
He has smoked 11⁄2 packs of cigarettes daily for about 40 years. Vital signs
are temperature 37.7°C (99.9°F), pulse 106/min, respirations 12/min on
intermittent mandatory ventilation, and blood pressure 72/46 mm Hg.
Pulse oximetry on 40% FIO₂ shows an oxygen saturation of 91%. He
appears obtunded and is poorly responsive. Physical examination shows
jugular venous distention in the supine position; trachea is midline.
Auscultation of the lungs discloses decreased breath sounds bilaterally
with inspiratory and expiratory wheezing and a prolonged expiratory
phase. Examination of the upper extremities shows 2+ digital clubbing
bilaterally. There is no cyanosis or edema. Which of the following is the
most appropriate management?
(A) Adjustment of the ventilator settings
(B) Insertion of bilateral chest tubes
(C) Intravenous dopamine
(D) Intravenous low-molecular-weight heparin
(E) 1-L bolus of intravenous 0.9% saline
(F) Needle decompression",A,A,1
"Question 101.1 (MC-NJ) - Step 3
A 32-year-old woman comes to the office because of a 2-week history of
burning rectal pain and bleeding. She says, ""The pain is like being burned
with a hot poker."" The pain is at its worst when she has a bowel movement
and for approximately 20 minutes after defecation. She rates the pain at its
worst as an 8 on a 10-point scale. She has noticed small amounts of bright
red blood on the toilet paper when wiping, as well as drops of blood on her
underwear. Medical history is unremarkable and she takes no medications.
BMI is 28 kg/m². Vital signs are normal. Abdominal examination discloses
no abnormalities. The patient has pain during rectal examination. Anoscopy
shows a small tear in the anal mucosa. Test of the stool for occult blood is
positive. Which of the following is the most appropriate next step in
management?
(A) Colonoscopy
(B) Excision and drainage
(C) Internal banding
(D) Oral docusate
(E) Sclerotherapy",A,D,0
"Question 103.1 (MC-NJ) - Step 3
A 16-year-old girl is brought to the office by her mother because she is
concerned that she may have contracted meningitis from her soccer
teammate, who was diagnosed with meningococcal meningitis and
admitted to the hospital yesterday. The patient's soccer team traveled to a
neighboring state to participate in a tournament 1 week ago and she shared
a hotel room with the girl who was hospitalized. The patient feels well but
is concerned she may have ""caught the same bug."" Medical history is
remarkable for asthma. Medications include inhaled albuterol. Vital signs
are temperature 37.2°C (98.9°F), pulse 64/min, respirations 16/min, and
blood pressure 107/58 mm Hg. Physical examination shows no
abnormalities. Which of the following is the most appropriate intervention
for this patient at this time?
(A) Administer the meningococcal vaccine
(B) Prescribe doxycycline
(C) Prescribe penicillin
(D) Prescribe rifampin
(E) Assure the patient that no anti-infective prophylaxis is necessary",E,D,0
"Question 104.1 (MC-NJ) - Step 3
A 27-year-old nulligravid woman comes to the office because of a 1-month
history of daily vaginal bleeding associated with lower abdominal pain and,
more recently, shortness of breath. Three days ago, she also developed
aching pain of her sternum, which she rates as a 10 on a 10-point scale.
During the 6 months prior to her current symptoms, the patient's
menstrual periods occurred regularly but were heavy in flow. Her current
bleeding has required changing her sanitary pad every 2 hours. Medical
history is significant for sickle cell anemia. Medications include
hydroxyurea (500 mg daily). The patient appears younger than her stated
age. She is 162 cm (5 ft 4 in) tall and weighs 54 kg (120 lb); BMI is 21 kg/m².
Vital signs are temperature 37.7°C (99.8°F), pulse 99/min, respirations 19/
min, and blood pressure 129/79 mm Hg. Auscultation of the chest discloses
coarse breath sounds in both lung bases and a grade 2/6 systolic murmur
heard best at the second left intercostal space. Results of laboratory
studies are shown:
Blood
Hematocrit - 18.0%
Hemoglobin - 5.7 g/dL
RBC - 3.8 million/mm³
WBC - 3000/mm³
Reticulocyte count - <0.4% of red cells
Which of the following is the most appropriate management of this
patient's sternal pain?
(A) Exchange transfusion
(B) Increased dose of hydroxyurea
(C) Initiation of erythropoietin therapy
(D) Iron supplementation
(E) Transfusion of packed red blood cells",A,E,0
"Question 105.1 (MC-NJ) - Step 3
A 67-year-old man with Parkinson disease is admitted to the hospital for
treatment of pneumonia. The patient's daughter, who is visiting the patient,
says he has had increased lethargy for the past day and decreased
ambulation during the past 6 months. She also says that there are times
during the day when his tremors increase in severity, although he
continues to care for himself at home. Medical history is also remarkable
for hypertension. Medications include hydrochlorothiazide, atenolol,
levodopa, and carbidopa. He is 168 cm (5 ft 6 in) tall and weighs 78 kg (172
lb); BMI is 28 kg/m². Vital signs are temperature 38.9°C (102.0°F), pulse 60/
min supine and 68/min standing, respirations 22/min, and blood pressure
100/60 mm Hg supine and 80/50 mm Hg standing. The patient appears ill
and older than his stated age. He is fully oriented but lethargic.
Auscultation of the chest discloses rhonchi in the right mid lung field.
Abdominal examination discloses no abnormalities. Neurologic
examination discloses masked facies, bradykinesia, and cogwheel rigidity;
gait was not assessed on admission. Chest x-ray shows a right lower lobe
infiltrate. ECG shows no abnormalities. Appropriate intravenous antibiotic
therapy is initiated. Prior to discharge, which of the following is the most
appropriate step?
(A) Obtain CT scan of the chest
(B) Obtain a swallowing evaluation
(C) Place a percutaneous endoscopic gastrostomy (PEG) tube
(D) Prescribe fludrocortisone
(E) Prescribe prophylactic levofloxacin",B,B,1
"Question 106.1 (MC-NJ) - Step 3
A 47-year-old man is admitted to the hospital through the emergency
department because of the sudden onset of palpitations, left-sided chest
pain, light-headedness, and shortness of breath that began while he was
watching television 2 hours ago. Medical history is remarkable for
paroxysmal atrial fibrillation. The patient is 180 cm (5 ft 11 in) tall and
weighs 82 kg (180 lb); BMI is 25 kg/m². ECG obtained in the emergency
department showed atrial fibrillation with narrow QRS complex. Pulse was
146/min. Physical examination was remarkable for rapid heart rate. The
patient was given oxygen via nasal cannula and intravenous metoprolol 5
mg every 5 minutes for a total of 15 mg. His pulse slowed to 90/min. Two
hours after admission, he is pain free but his pulse is now 160/min. Blood
pressure is 122/78 mm Hg. In order to decrease the patient's pulse, which
of the following should be administered intravenously?
(A) Adenosine
(B) Digoxin
(C) Enalapril
(D) Lidocaine
(E) Metoprolol",A,E,0
